grid_id_0.25deg,lat_0.25deg,lng_0.25deg,GHM_0.25deg,viirs_dnb_avg_rad_0.25deg,viirs_dnb_cf_cvg_0.25deg,world_pop_density_0.25deg
2155,-11.5,117,,0.146088891,9.701860754,
2290,-11.5,117.25,,0.146426248,10.00084044,
2425,-11.5,117.5,,0.144133316,10.36280139,
2560,-11.5,117.75,,0.140674738,9.873203211,
2695,-11.5,118,,0.139266643,9.570791702,
2830,-11.5,118.25,,0.142266268,9.647477909,
2965,-11.5,118.5,,0.142744992,9.655066602,
3100,-11.5,118.75,,0.142158277,9.445036126,
3235,-11.5,119,,0.142761764,9.746685491,
3370,-11.5,119.25,,0.141787745,9.687126092,
3505,-11.5,119.5,,0.144760262,9.574323118,
3640,-11.5,119.75,,0.143589804,9.687155225,
3775,-11.5,120,,0.142609878,9.919168575,
3910,-11.5,120.25,,0.142990372,9.588607587,
4045,-11.5,120.5,,0.137786559,9.963674088,
4180,-11.5,120.75,,0.137279165,10.16105548,
4315,-11.5,121,,0.139363081,9.810442275,
4450,-11.5,121.25,,0.138227217,9.811002042,
4585,-11.5,121.5,,0.140380984,9.938138486,
4720,-11.5,121.75,,0.138824157,9.691364405,
4855,-11.5,122,,0.137317802,9.762295985,
4990,-11.5,122.25,,0.137105627,10.00302483,
5125,-11.5,122.5,,0.136039638,9.910466355,
5260,-11.5,122.75,,0.13505012,10.05250334,
5395,-11.5,123,,0.13501627,9.975105261,
5530,-11.5,123.25,,0.131246257,9.438006673,
5665,-11.5,123.5,,0.133645498,9.583290583,
5800,-11.5,123.75,,0.130522706,9.611657761,
5935,-11.5,124,,0.129692943,9.067226539,
6070,-11.5,124.25,,0.131702385,9.241745359,
